ID_REPOSITORIO|NOMBRE_USUARIO|NOMBRE_REPOSITORIO|DESCRIPCIÓN|ÚLTIMA_ACTUALIZACIÓN|IDIOMA|ESTRELLAS|ETIQUETAS|URL
1|freeCodeCamp|freeCodeCamp|La base de código fuente abierta y el plan de estudios de https://freeCodeCamp.com. Aprenda a codificar y ayude a las organizaciones sin fines de lucro.|2017-06-24T15:56:17Z|JavaScript|290|organizaciones sin fines de lucro,certificación,plan de estudios,react,nodejs,javascript,d3,profesores,comunidad,educación,programación,matemáticas, aprender-a-codificar,carreras|https://github.com/freeCodeCamp/freeCodeCamp
2|twbs|bootstrap|El marco de HTML, CSS y JavaScript más popular para desarrollar proyectos responsivos y móviles en la web.|2017-0624T15:40:21Z|JavaScript|112|javascript,css,html,bootstrap,jekyllsite,scss|https://github.com/twbs/bootstrap
3|EbookFoundation|libros-de-programacion-gratis| Libros de programación disponibles gratuitamente|2017-0623T01:09:34Z||87.8|educación,lista,libros,recurso|https://github.com/EbookFoundation/freeprogramming-books
4|facebook|react|Una biblioteca declarativa, eficiente y flexible de JavaScript para crear interfaces de usuario.|2017-0624T19:33:49Z|JavaScript|69.7||https://github.com/facebook/react
5|d3|d3|Dale vida a tus datos con SVG, Canvas y HTML. |2017-0531T06:03:47Z|JavaScript|65.7|visualización|https://github.com/d3/d3
6|getify|You-Dont-Know-JS|Una serie de libros sobre JavaScript. @YDKJS en twitter.|2017-0623T10:42:36Z|JavaScript|62|serie-de-libros,javascript,materiales-decapacitacion,async,educacion,programacion,es6,libro,es2015,aprender-a-codificar,proveedoresde-capacitacion,cierres,prototipos|https://github.com/getify/You-Dont-Know-JS
7|tensorflow|tensorflow|Cálculos con gráficos de flujo de datos para aprendizaje automático escalable|2017-06-24T18:25:42Z|C++|61.6|tensorflow,python,machine-learning,deep-neuralnetworks,deep-learning,neuralnetwork,ml,distributed|https://github.com/tensorflow/tensorflow
8|sindresorhus|awesome| Lista seleccionada de listas increíbles|2017-0624T17:26:02Z||60.7|listas,awesome,unicornios,recursos,listaincreible|https://github.com/sindresorhus/awesome
9|vuejs|vue|Un marco de JavaScript progresivo y de adopción incremental para crear interfaces de usuario en la web.|2017-0624T15:38:55Z|JavaScript|57.7|javascript,vue,framework,frontend|https://github.com/vuejs/vue
10|angular|angular.js|AngularJS: HTML mejorado para aplicaciones web!|2017-0624T06:25:23Z|JavaScript|56.2||https://github.com/angular/angular.js
11|robbyrussell|oh-my-zsh|Un marco de trabajo agradable impulsado por la comunidad (con más de 1000 colaboradores) para administrar la configuración de zsh. Incluye más de 200|2017-0623T19:24:49Z|Shell|55.2|zshconfiguration,shell,theme,productivity,terminal|https://github.com/robbyrussell/oh-my-zsh
12|airbnb|javascript|Guía de estilo de JavaScript|2017-0624T05:44:24Z|JavaScript|54.1|funciones-de-flecha,javascript,eslint,convenciones-denombramiento,guía-de-estilo,es6,style-linter,linting,guia-deestilo,es2015|https://github.com/airbnb/javascript
13|github|gitignore|Una colección de plantillas .gitignore útiles|2017-0624T08:48:29Z||51.6|gitignore,git|https://github.com/github/gitignore
14|FortAwesome|Font-Awesome|El icónico kit de herramientas CSS y de fuentes|2017-0620T18:53:29Z|HTML|50.9||https://github.com/FortAwesome/Font-Awesome
15|facebook|react-native|Un marco para crear aplicaciones nativas con React.|2017-0624T16:19:44Z|JavaScript|50||https://github.com/facebook/react-native
16|electron|electron|Cree aplicaciones de escritorio multiplataforma con JavaScript, HTML y CSS|2017-06-24T11:58:28Z|C++|47.2|html,css,javascript,electron,c-plusplus,chrome,nodejs,v8|https://github.com/electron/electron
17|torvalds|linux|Árbol de código fuente del núcleo de Linux|2017-0624T09:27:57Z|C|46.3||https://github.com/torvalds/linux
18|jquery|jquery|Biblioteca de JavaScript jQuery|2017-0623T12:47:39Z|JavaScript|45.3||https://github.com/jquery/jquery
19|jwasham|coding-interview-university|Un plan de estudios completo de informática para convertirse en ingeniero de software.|2017-0619T23:54:54Z||44.9||https://github.com/jwasham/coding-interview-university
20|moby|moby|Proyecto Moby: un proyecto colaborativo para el ecosistema de contenedores para ensamblar sistemas basados ​ en contenedores|2017-0624T19:31:46Z|Go|44.3|docker,go,containers|https://github.com/moby/moby
21|daneden|animate.css| Una biblioteca de animaciones CSS para todos los navegadores. Tan fácil de usar como una cosa fácil.|2017-06-18T06:45:18Z|CSS|42.8|animaciones-css,hojas-deestilo,css,animación|https://github.com/daneden/animate.css
22|apple|swift|El lenguaje de programación Swift|2017-0624T19:10:06Z|C++|39.1||https://github.com/apple/swift
23|atom|atom|El editor de texto hackeable|2017-0624T11:21:59Z|CoffeeScript|37.8|linux,macos,atom,javascript,electron,editor,windows|https://g ithub.com/atom/atom
24|meteor|meteor|Meteor, la plataforma de aplicaciones JavaScript|2017-0624T16:45:21Z|JavaScript|37.7|javascript,meteor,npm,mongodb,buildsystem|https://github.com/meteor/meteor
